race_id,race_number,date_course,horse_id,target_rank,hippodrome,distance,weather_temperature,age,sex,shoeing_status,driver,entraineur,gains_carriere,cote_matin,avg_red_km_last_5,nb_races_last_5,nb_dai_last_5,avg_place_last_5,days_since_last_race,is_debutant
5661,4,2025-10-22,65083,3,GEL,2000,14.0,10,HONGRES,,HOLZSCHUH JOCHEN,J. HOLZSCHUH,5137100.0,47.0,56880.0,0,0,,365.0,True
5654,5,2025-10-22,24012,2,BEA,2400,20.0,6,MALES,PROTEGE_ANTERIEURS_DEFERRRE_POSTERIEURS,P.Y. VERVA,J.R. DELLIAUX,58957000.0,7.8,7232.5,5,1,2.75,1.0,False
5661,4,2025-10-22,16947,7,GEL,2000,14.0,7,HONGRES,,BEER RONALD DE,R. BEER,5273600.0,71.0,56880.0,0,0,,365.0,True
5654,5,2025-10-22,23014,5,BEA,2400,20.0,11,MALES,DEFERRE_ANTERIEURS_POSTERIEURS,CH. CUILLER,CH. CUILLER,107548000.0,61.0,7188.0,5,0,7.0,1.0,False
5661,4,2025-10-22,41806,2,GEL,2000,14.0,6,HONGRES,,CREBAS BASTIAAN J.,B. CREBAS,5972500.0,9.3,56880.0,0,0,,365.0,True
5661,4,2025-10-22,65118,8,GEL,2000,14.0,7,HONGRES,,ONDERWATER KEVIN,H. GRIFT,8008100.0,415.0,56880.0,0,0,,365.0,True
5661,4,2025-10-22,65126,1,GEL,2000,14.0,7,MALES,DEFERRE_POSTERIEURS,ROEGES KURT,H. GRIFT,10261000.0,1.1,7256.666666666667,5,2,4.333333333333333,554.0,False
5654,5,2025-10-22,16937,7,BEA,2400,20.0,6,MALES,DEFERRE_POSTERIEURS,TH. BRIAND,Ph. ALLAIRE,124183100.0,21.0,7250.0,5,3,7.0,1.0,False
5661,4,2025-10-22,17411,4,GEL,2000,14.0,9,HONGRES,DEFERRE_ANTERIEURS,PANSCHOW THOMAS,W. NIMCZYK,11097900.0,86.0,56880.0,0,0,,365.0,True
5654,5,2025-10-22,51318,4,BEA,2400,20.0,9,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,E. RAFFIN,J.M. BAUDOUIN,87397900.0,8.4,7200.0,5,0,5.0,1.0,False
5661,4,2025-10-22,43419,6,GEL,2000,14.0,9,HONGRES,,SCHWARMA TIM,H. GRIFT,13219000.0,138.0,7513.333333333333,5,2,5.333333333333333,26.0,False
5654,5,2025-10-22,18710,3,BEA,2400,20.0,7,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,A. WIELS,J.P. MARMION,69028000.0,2.7,7262.0,5,0,3.6,1.0,False
5654,5,2025-10-22,17824,8,BEA,2400,20.0,6,MALES,PROTEGE_ANTERIEURS,E. SZIRMAY,E. SZIRMAY,49003000.0,38.0,7250.0,5,0,5.2,1.0,False
5662,5,2025-10-22,21732,8,GEL,2000,14.0,8,HONGRES,,DEVOLDER DRIES,C. GROOTE,1770200.0,16.0,56880.0,0,0,,365.0,True
5662,5,2025-10-22,65179,5,GEL,2000,14.0,4,FEMELLES,,PANSCHOW THOMAS,W. NIMCZYK,1195500.0,13.0,56880.0,0,0,,365.0,True
5662,5,2025-10-22,65188,11,GEL,2000,14.0,7,HONGRES,,MANZKE GERD,G. MANZKE,1357000.0,46.0,56880.0,0,0,,365.0,True
5662,5,2025-10-22,65192,10,GEL,2000,14.0,5,HONGRES,,HOLDT DENNIS VON,K. MEYER,1640200.0,2.9,56880.0,0,0,,365.0,True
5662,5,2025-10-22,48583,3,GEL,2000,14.0,6,MALES,DEFERRE_POSTERIEURS,SCHWARMA TIM,K. HORN,1886500.0,3.4,56880.0,0,0,,365.0,True
5662,5,2025-10-22,16952,1,GEL,2000,14.0,8,HONGRES,,BRUSTEN DIETER,M. BANSEMER,1888000.0,20.0,7632.5,5,1,4.0,70.0,False
6329,1,2025-09-03,64116,2,CAP,2700,20.0,7,HONGRES,PROTEGE_ANTERIEURS,F. NIVARD,P. DANET,21631000.0,8.8,7343.333333333333,5,0,4.2,1.0,False
6329,1,2025-09-03,6482,4,CAP,2700,20.0,7,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,G. GELORMINI,H.E. BONDO,22835400.0,3.9,7396.666666666667,5,0,5.666666666666667,1.0,False
6329,1,2025-09-03,39604,10,CAP,2700,20.0,10,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,D. BROHIER,D. BROHIER,21759000.0,21.0,7420.0,5,0,4.5,1.0,False
6329,1,2025-09-03,38553,5,CAP,2700,20.0,8,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,P.Y. VERVA,Pavel TAMSIN,21986600.0,8.1,7324.0,5,0,6.8,1.0,False
6329,1,2025-09-03,69014,7,CAP,2700,20.0,8,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,E. DE JESUS,A. DE JESUS,22265000.0,9.1,7360.0,5,0,3.8,1.0,False
6329,1,2025-09-03,26393,8,CAP,2700,20.0,8,HONGRES,,J. KOUBICHE,Y. DESMET,20844500.0,56.0,7430.0,4,1,7.0,1.0,False
6329,1,2025-09-03,26309,3,CAP,2700,20.0,7,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,F. OUVRIE,Mme S. LAVIGNE,14447200.0,5.9,7370.0,5,0,3.0,1.0,False
6329,1,2025-09-03,17789,11,CAP,2700,20.0,10,FEMELLES,,L. PITON,B. ROBIN,19356000.0,63.0,7330.0,5,1,4.5,1.0,False
6329,1,2025-09-03,5697,1,CAP,2700,20.0,7,MALES,DEFERRE_ANTERIEURS_POSTERIEURS,A. ABRIVARD,J. WESTHOLM,21269800.0,22.0,7365.0,3,1,5.0,1.0,False
